Tempo,Tipo,Preco,Dia,Dia_da_semana,Partida_local,Partida_horario,Chegada_local,Chegada_horario
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 20:10,SDU , 21:15
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 19:40,SDU , 20:45
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 18:55,SDU , 20:00
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 18:25,SDU , 19:30
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 17:35,SDU , 18:40
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 16:45,SDU , 17:50
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 16:15,SDU , 17:20
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 15:35,SDU , 16:40
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 15:00,SDU , 16:05
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 14:30,SDU , 15:35
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 14:00,SDU , 15:05
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 13:05,SDU , 14:10
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 12:25,SDU , 13:30
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 11:40,SDU , 12:45
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 11:15,SDU , 12:20
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 10:45,SDU , 11:50
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 10:00,SDU , 11:05
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 09:15,SDU , 10:20
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 08:40,SDU , 09:45
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 08:00,SDU , 09:05
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 07:45,SDU , 08:50
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 07:00,SDU , 08:05
01:05,Direto, 1962.01, 04/10,SEXTA-FEIRA,CGH , 06:20,SDU , 07:25
01:05,Direto, 2527.01, 04/10,SEXTA-FEIRA,CGH , 20:50,SDU , 21:55
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 18:55,SDU , 20:00
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 15:35,SDU , 16:40
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 14:30,SDU , 15:35
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 14:00,SDU , 15:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 12:25,SDU , 13:30
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 11:45,SDU , 12:50
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 11:15,SDU , 12:20
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 10:00,SDU , 11:05
01:05,Direto, 1962.01, 05/10,SÁBADO,CGH , 09:15,SDU , 10:20
